ds_owner,id,handedness,gender,age_group,education,color_blindness,hours_sleep,art_light_r_w,light_dir_r_s,photo_training,carto_gis_training,geovis_3d_training,satellite_training,photo_exposure,carto_gis_exposure,geovis_3d_exposure,satellite_exposure,mask,circle_below,circle_above,shapes_01,shapes_02,shapes_03,shapes_04,shapes_05,shapes_06,shapes_07,shapes_08,shapes_09,shapes_10,Q10_R000_0,Q10_R000_270,Q10_R000_292_5,Q10_R000_315,Q10_R000_337_5,Q20_R045_0,Q20_R045_270,Q20_R045_292_5,Q20_R045_315,Q20_R045_337_5,Q30_R090_0,Q30_R090_270,Q30_R090_292_5,Q30_R090_315,Q30_R090_337_5,Q40_R135_0,Q40_R135_270,Q40_R135_292_5,Q40_R135_315,Q40_R135_337_5,Q50_V000_0,Q50_V000_270,Q50_V000_292_5,Q50_V000_315,Q50_V000_337_5,Q60_V045_0,Q60_V045_270,Q60_V045_292_5,Q60_V045_315,Q60_V045_337_5,Q70_V090_0,Q70_V090_270,Q70_V090_292_5,Q70_V090_315,Q70_V090_337_5,Q80_V135_0,Q80_V135_270,Q80_V135_292_5,Q80_V135_315,Q80_V135_337_5
v,68,r,m,22,BSc Meteorology,no,6-7 hours,overhead,C,4,5,3,4, , , , ,,,,,,,,,,,,,,4,1,1,1,5,5,1,1,5,4,5,1,5,4,4,5,1,1,2,2,1,5,1,1,1,2,5,5,1,2,2,5,5,5,2,1,5,4,4,1
v,69,r,m,21,BSc Meteorology,no,6-7 hours,overhead,"G,H,K,M",2,4,5,4,daily,daily,daily,daily,,,,,,,,,,,,,,5,1,5,5,5,5,5,5,4,5,5,2,1,5,5,5,5,5,2,5,5,5,5,1,1,2,5,5,5,5,4,4,5,4,2,2,5,1,1,1
v,70,b,m,22,BSc Environmental Sciences,yes,4-5 hours,overhead,F,2,2,5,5, , , , ,,,,,,,,,,,,,,5,1,1,5,5,5,1,1,5,5,4,1,5,5,5,1,1,5,5,5,1,5,5,1,1,1,5,5,1,1,2,5,2,2,4,1,5,1,1,1
v,71,r,m,20,BSc Geology,no,7-8 hours,overhead,"B,C,E",4,5,3,4, ,daily, , ,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
v,72,r,m,23,BSc Geoinformatics,no,less_than_3,none,"C,F,G,K",5,5,2,5,daily,daily, , ,,,,,,,,,,,,,,2,1,1,2,2,3,2,2,1,2,1,1,1,1,2,1,2,1,2,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
v,73,r,f,24,BSc Environmental Sciences,no,6-7 hours,overhead,"A,B,C,D,E,F",5,4,4,3,daily, , , ,,,,,,,,,,,,,,5,1,4,4,5,4,2,2,1,1,1,2,2,1,2,4,5,3,5,5,2,1,1,2,1,5,5,5,5,5,5,4,4,5,4,2,3,4,5,3
v,74,r,m,20,BSc Meteorology,no,6-7 hours,overhead,"B,C,D,F,G,I,M",4,2,5,2, , ,daily, ,,,,,,,,,,,,,,5,1,5,4,5,5,5,5,5,5,5,5,4,4,5,5,5,4,4,5,4,2,2,2,1,4,4,1,1,1,1,1,2,1,2,1,1,1,1,1
v,75,r,m,23,BSc Meteorology,no,4-5 hours,overhead,"F,G,H",5,5,4,5, , , , ,,,,,,,,,,,,,,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,1,1,1,1,1,5,1,1,1,1,5,1,1,1,1,1,1,1,1
v,76,r,f,20,BSc Geology,no,7-8 hours,overhead,K,1,4,1,1,never, , , ,,,,,,,,,,,,,,5,1,5,5,5,5,5,5,5,5,4,2,5,5,5,5,1,5,4,5,1,5,4,1,1,1,1,1,1,1,1,4,1,1,1,1,5,5,1,1
v,77,r,m,21,BSc Geoinformatics,no,6-7 hours,desktop,"F,G,J",5,4,4,5, , , , ,,,,,,,,,,,,,,3,1,1,2,3,1,1,1,2,1,1,3,2,1,1,2,1,1,3,3,2,5,4,3,2,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5
v,78,r,f,22,BSc Meteorology,no,5-6 hours,overhead,"B,J,M",3,3,3,3, , , , ,,,,,,,,,,,,,,4,5,5,5,4,5,5,5,5,5,5,3,5,5,5,4,5,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,2,2,2
v,79,r,m,29,BSc Geology,no,7-8 hours,desktop,"C,H,I,K,L,M",5,3,4,4, , , , ,,,,,,,,,,,,,,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1
v,80,b,m,22,BSc Environmental Sciences,no,5-6 hours,overhead,"C,J",2,5,5,4, , , , ,,,,,,,,,,,,,,5,5,2,4,4,5,4,4,3,5,3,3,3,4,1,4,1,3,2,1,3,4,4,2,2,4,5,4,5,4,1,1,2,1,1,3,4,3,3,3
v,81,r,f,21,BSc Meteorology,no,more_than_8,overhead,"C,E,G",4,4,3,3, , , , ,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,1,5,4,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
v,82,r,f,21,BSc Geology,no,6-7 hours,overhead,"E,G",4,5,5,5, , , , ,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,4,1
v,83,r,f,20,BSc Meteorology,no,5-6 hours,desktop,"C,D,E,G,H,J",4,4,4,5, , , , ,,,,,,,,,,,,,,4,4,2,4,2,5,1,4,4,4,4,2,4,4,5,5,2,2,4,4,3,5,4,2,2,3,5,3,3,3,2,2,5,1,2,1,5,2,1,1
v,84,r,f,23,BSc Geography,no,6-7 hours,overhead,"C,J,L",4,3,5,4, , , , ,,,,,,,,,,,,,,5,1,1,2,2,5,4,5,5,5,5,3,5,5,5,5,1,5,5,5,4,1,1,1,2,1,5,5,1,1,2,5,1,1,1,1,5,1,5,1
v,85,r,m,22,BSc Chemistry,no,6-7 hours,overhead,C,1,1,1,1, , ,never, ,,,,,,,,,,,,,,5,1,4,1,4,5,1,1,5,4,5,2,1,5,5,5,2,5,4,5,1,4,5,1,1,1,4,2,2,1,1,4,2,5,2,1,5,4,2,1
v,86,r,m,22,BSc Geography,no,6-7 hours,overhead,"B,C,D,M",5,5,5,5, , , , ,,,,,,,,,,,,,,5,1,1,1,5,5,1,5,5,5,5,1,5,5,5,5,1,1,5,5,1,5,1,1,1,1,1,1,1,1,1,5,1,5,1,1,5,1,1,1
v,87,r,m,23,BSc Geoinformatics,no,6-7 hours,overhead,"B,C,D,F,L,M",4,5,4,5, , , , ,,,,,,,,,,,,,,2,1,1,1,1,5,1,5,5,5,5,1,5,5,5,5,1,1,5,5,1,5,5,5,1,1,5,5,1,1,1,5,5,5,1,1,5,1,1,1
