ds_owner,id,gender,age_group,handedness,education,color_blindness,hours_sleep,art_light_r_w,light_dir_r_s ,photo_training,carto_gis_training,geovis_3d_training,satellite_training,photo_exposure,carto_gis_exposure,geovis_3d_exposure,satellite_exposure,mask,circle_below,circle_above,shapes_01,shapes_02,shapes_03,shapes_04,shapes_05,shapes_06,shapes_07,shapes_08,shapes_09,shapes_10,Q10_R000_0,Q10_R000_270,Q10_R000_292_5,Q10_R000_315,Q10_R000_337_5,Q20_R045_0,Q20_R045_270,Q20_R045_292_5,Q20_R045_315,Q20_R045_337_5,Q30_R090_0,Q30_R090_270,Q30_R090_292_5,Q30_R090_315,Q30_R090_337_5,Q40_R135_0,Q40_R135_270,Q40_R135_292_5,Q40_R135_315,Q40_R135_337_5,Q50_V000_0,Q50_V000_270,Q50_V000_292_5,Q50_V000_315,Q50_V000_337_5,Q60_V045_0,Q60_V045_270,Q60_V045_292_5,Q60_V045_315,Q60_V045_337_5,Q70_V090_0,Q70_V090_270,Q70_V090_292_5,Q70_V090_315,Q70_V090_337_5,Q80_V135_0,Q80_V135_270,Q80_V135_292_5,Q80_V135_315,Q80_V135_337_5
a,22,m,25,r,University/College: Bachelor degree or equivalent,No,7-8 hours,Overhead light,"C,D",4,4,5,5, , , , ,,,,,,,,,,,,,,5,1,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,5,5,2,2
a,23,m,27,r,"University/College: Honours, Masters, PhD degree or equivalent",No,7-8 hours,both,"B,C,D,E",2,2,5,2,daily, , , ,,,,,,,,,,,,,,5,1,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,5,5,2,1
a,24,m,42,r,University/College: Bachelor degree or equivalent,No,More than 8 hours,Desktop light,"H,M",5,2,2,5,daily,daily,daily,daily,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
a,25,m,65,b,"University/College: Honours, Masters, PhD degree or equivalent",No,7-8 hours,Desktop light,G,5,2,5,5, ,daily, , ,,,,,,,,,,,,,,5,3,2,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,2,1
a,26,f,27,r,"University/College: Honours, Masters, PhD degree or equivalent",No,7-8 hours,both,"C,L,M",4,4,1,3, ,daily, , ,,,,,,,,,,,,,,4,3,5,4,4,5,5,5,5,5,5,5,5,5,5,4,3,5,5,4,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,5,5,2,1
a,27,m,32,r,"University/College: Honours, Masters, PhD degree or equivalent",No,More than 8 hours,Overhead light,C,1,3,1,1, , , , ,,,,,,,,,,,,,,5,2,2,5,4,5,5,5,5,5,5,4,5,5,4,4,2,5,5,5,1,1,1,1,1,1,1,1,1,2,1,4,1,1,1,2,3,5,2,1
a,28,m,31,l,"University/College: Honours, Masters, PhD degree or equivalent",Yes,4-5 hours,both,C,2,2,2,2, ,daily,daily,daily,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,5,4,2,1
a,29,f,44,r,"University/College: Honours, Masters, PhD degree or equivalent",No,7-8 hours,Desktop light,"A,C,E",1,2,3,3, ,daily,daily, ,,,,,,,,,,,,,,5,1,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1
a,30,f,41,r,"University/College: Honours, Masters, PhD degree or equivalent",No,More than 8 hours,Overhead light,"B,C,D,F,M",5,3,1,1,daily,daily, , ,,,,,,,,,,,,,,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1
a,31,m,57,r,"University/College: Honours, Masters, PhD degree or equivalent",No,7-8 hours,Overhead light,"G,H,K,L,M",4,2,5,5, , , , ,,,,,,,,,,,,,,5,2,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,2,1,4,1,1,1,1,1,1,1,1,2,1,1,1,1,5,2,2,2
